MTL : Added flight: Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Mon Oct 17 00:00:00 EDT 2016, seats=20, availableSeats=20] at Sun Oct 09 20:13:59 EDT 2016
MTL : Added flight: Flight [recordId=1, flightClass=Business, destination=City [name=Washington, acronym=WST], date=Mon Oct 17 00:00:00 EDT 2016, seats=25, availableSeats=25] at Sun Oct 09 20:13:59 EDT 2016
MTL : Added flight: Flight [recordId=2, flightClass=Economy, destination=City [name=Washington, acronym=WST], date=Mon Oct 17 00:00:00 EDT 2016, seats=50, availableSeats=50] at Sun Oct 09 20:13:59 EDT 2016
MTL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Mon Oct 17 00:00:00 EDT 2016, seats=20, availableSeats=19], bookingDate=Sun Oct 09 20:14:13 EDT 2016] at Sun Oct 09 20:14:13 EDT 2016
MTL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Mon Oct 17 00:00:00 EDT 2016, seats=20, availableSeats=18], bookingDate=Sun Oct 09 20:14:13 EDT 2016] at Sun Oct 09 20:14:13 EDT 2016
MTL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Mon Oct 17 00:00:00 EDT 2016, seats=20, availableSeats=17], bookingDate=Sun Oct 09 20:14:13 EDT 2016] at Sun Oct 09 20:14:13 EDT 2016
MTL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Mon Oct 17 00:00:00 EDT 2016, seats=20, availableSeats=16], bookingDate=Sun Oct 09 20:14:13 EDT 2016] at Sun Oct 09 20:14:13 EDT 2016
MTL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Mon Oct 17 00:00:00 EDT 2016, seats=20, availableSeats=15], bookingDate=Sun Oct 09 20:14:13 EDT 2016] at Sun Oct 09 20:14:13 EDT 2016
MTL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Mon Oct 17 00:00:00 EDT 2016, seats=20, availableSeats=14], bookingDate=Sun Oct 09 20:14:13 EDT 2016] at Sun Oct 09 20:14:13 EDT 2016
MTL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Mon Oct 17 00:00:00 EDT 2016, seats=20, availableSeats=13], bookingDate=Sun Oct 09 20:14:13 EDT 2016] at Sun Oct 09 20:14:13 EDT 2016
MTL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Mon Oct 17 00:00:00 EDT 2016, seats=20, availableSeats=12], bookingDate=Sun Oct 09 20:14:14 EDT 2016] at Sun Oct 09 20:14:14 EDT 2016
MTL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Mon Oct 17 00:00:00 EDT 2016, seats=20, availableSeats=11], bookingDate=Sun Oct 09 20:14:14 EDT 2016] at Sun Oct 09 20:14:14 EDT 2016
MTL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Mon Oct 17 00:00:00 EDT 2016, seats=20, availableSeats=10], bookingDate=Sun Oct 09 20:14:14 EDT 2016] at Sun Oct 09 20:14:14 EDT 2016
MTL : Successfully booked PassengerRecord: PassengerRecord [passenger=Person [firstName=John, lastName=Doe], flight=Flight [recordId=0, flightClass=First, destination=City [name=Washington, acronym=WST], date=Mon Oct 17 00:00:00 EDT 2016, seats=20, availableSeats=9], bookingDate=Sun Oct 09 20:14:14 EDT 2016] at Sun Oct 09 20:14:14 EDT 2016
